date,sales,visitors,temperature,weather
2024-01-01,120000,85,5.2,晴れ
2024-01-02,98000,70,6.1,曇り
2024-01-03,,60,,雨
2024-01-04,145000,102,7.8,晴れ
2024-01-05,110500,88,,曇り
2024-01-06,132000,95,8.9,晴れ
2024-01-07,87000,,4.3,雨
2024-01-08,99500,72,5.9,曇り
2024-01-09,,58,3.8,雨
2024-01-10,128000,90,9.2,晴れ
2024-01-11,140200,99,10.1,晴れ
2024-01-12,105000,80,6.7,曇り
2024-01-13,91000,65,,雨
2024-01-14,133500,97,8.4,晴れ
2024-01-15,118000,,7.1,曇り
2024-01-16,102000,75,5.5,雨
2024-01-17,149000,110,11.0,晴れ
2024-01-18,,68,6.3,曇り
2024-01-19,96000,71,4.9,雨
2024-01-20,137000,101,9.6,晴れ
